line_no,word,pos_list,n_senses,declared_cefr,source_oxford_badge,badge_match,src_cambridge_flag,src_oxford_flag,card_status,card_reason,tags
96,shoddy,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"1/1 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def])",Audio::Cambridge Source::Oxford
103,eliminated,verb,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge OPAL_W Source::Oxford
104,estimates,noun,2,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,2/2 senses failed: word-not-in-source,Audio::Cambridge OPAL_W Source::Oxford
105,evidence,noun,1,A2,A2,yes,Cambridge,Oxford,mismatch,1/1 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::A2 CEFR::oxford idioms OPAL_W Oxford_3000 Source::Oxford
109,harbored,verb,1,UNCLASSIFIED,,no,Cambridge,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
110,harnessing,verb,2,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,2/2 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED idioms Source::Oxford
112,monitors,verb,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge Source::Oxford
116,teeming,verb,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,1/1 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
122,primitive,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"1/1 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def])",Audio::Cambridge Source::Oxford
132,embryo,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"1/1 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def])",Audio::Cambridge idioms Source::Oxford
134,unfiltered,adjective,1,UNCLASSIFIED,,no,Cambridge,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
145,convenient,adjective,1,B1,B1,yes,Cambridge,Oxford,mismatch,1/1 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::oxford CEFR::UNCLASSIFIED Oxford_3000 Source::Oxford
148,glitch,noun,2,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"2/2 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def])",Audio::Cambridge Source::Oxford
149,eternal,adjective,3,C1,C1,yes,Oxford,Oxford,mismatch,1/3 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::C1 CEFR::oxford idioms Oxford_5000 Source::Oxford
152,carrying capacity,noun,1,UNCLASSIFIED,,no,Cambridge,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
155,devour,verb,3,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,1/3 senses failed: sense-text-not-in-source,Audio::Cambridge idioms Source::Oxford
158,blink of an eye,idiom,1,UNCLASSIFIED,,no,EdgeTTS,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::EdgeTTS CEFR::UNCLASSIFIED Source::Oxford
159,daunting,verb,2,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,1/2 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
165,harbor,noun,1,UNCLASSIFIED,,no,Cambridge,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
172,burnout,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"1/1 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def])",Audio::Cambridge Source::Oxford
180,intimacy,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"1/1 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def])",Audio::Cambridge Source::Oxford
182,curated,adjective,2,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,2/2 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED idioms Source::Oxford
184,currency,noun,1,B1,B1,yes,Cambridge,Oxford,mismatch,1/1 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::oxford CEFR::UNCLASSIFIED Oxford_3000 Source::Oxford
196,heightened,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
198,relay,noun,1,UNCLASSIFIED,,no,Cambridge,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
199,dialogue,noun,2,A1,A1,yes,Cambridge,Oxford,mismatch,"1/2 senses failed: cefr-mismatch (deck=A1, source=B2 [per-def], source-badge=A1)",Audio::Cambridge CEFR::oxford CEFR::UNCLASSIFIED Oxford_3000 Source::Oxford
202,affirm,verb,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"1/1 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def])",Audio::Cambridge Source::Oxford
205,wither,verb,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"1/1 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def])",Audio::Cambridge Source::Oxford
223,consolidation,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"1/1 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def])",Audio::Cambridge Source::Oxford
232,logistical,adjective,1,UNCLASSIFIED,,no,Cambridge,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
240,plague,verb,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"1/1 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def])",Audio::Cambridge idioms Source::Oxford
258,contrast,noun,1,B1,B1,yes,Cambridge,Oxford,mismatch,1/1 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::B1 CEFR::oxford OPAL_W Oxford_3000 Source::Oxford
259,proportions,noun,2,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,2/2 senses failed: word-not-in-source,Audio::EdgeTTS CEFR::UNCLASSIFIED idioms OPAL_W Source::Oxford
265,lateralized,adjective,1,UNCLASSIFIED,,no,EdgeTTS,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::EdgeTTS CEFR::UNCLASSIFIED Source::Oxford
279,slouching,verb,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
284,ligaments,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
287,promote,verb,1,B1,B1,yes,Cambridge,Oxford,mismatch,1/1 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::oxford CEFR::UNCLASSIFIED OPAL_W Oxford_3000 Source::Oxford
288,vertebrae,noun,1,UNCLASSIFIED,,no,EdgeTTS,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::EdgeTTS CEFR::UNCLASSIFIED Source::Oxford
289,stacked,verb,3,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,3/3 senses failed: sense-text-not-in-source,Audio::Cambridge idioms Source::Oxford
290,aligned,verb,2,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,2/2 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
299,sabotage,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"1/1 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def])",Audio::Cambridge Source::Oxford
303,anecdote,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"1/1 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=B2 [per-def])",Audio::Cambridge Source::Oxford
310,resilient,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"1/1 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def])",Audio::Cambridge Source::Oxford
311,harvest,noun|verb,3,C1,C1,yes,Oxford,Oxford,mismatch,1/3 senses failed: sense-text-not-in-source; no-per-sense-pos-in-deck; flat-matched,Audio::Cambridge CEFR::C1 CEFR::oxford idioms Oxford_5000 Source::Oxford
312,foraging,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
317,identify,verb,2,A2,A2,yes,Cambridge,Oxford,mismatch,"1/2 senses failed: cefr-mismatch (deck=A2, source=B1 [per-def], source-badge=A2)",Audio::Cambridge CEFR::oxford CEFR::UNCLASSIFIED OPAL_W Oxford_3000 Source::Oxford
318,paranoid,adjective,2,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"2/2 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def])",Audio::Cambridge Source::Oxford
320,essential,adjective,2,B1,B1,yes,Cambridge,Oxford,mismatch,"1/2 senses failed: cefr-mismatch (deck=B1, source=B2 [per-def], source-badge=B1)",Audio::Cambridge CEFR::oxford CEFR::UNCLASSIFIED OPAL_W Oxford_3000 Source::Oxford
322,inconvenience,noun,2,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"2/2 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def])",Audio::Cambridge Source::Oxford
324,inherited,adjective,2,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,2/2 senses failed: word-not-in-source,Audio::EdgeTTS CEFR::UNCLASSIFIED Source::Oxford
328,byproducts,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::EdgeTTS CEFR::UNCLASSIFIED Source::Oxford
331,pathways,noun,2,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,2/2 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
339,dread,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"1/1 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def])",Audio::Cambridge Source::Oxford
353,standards,noun,1,UNCLASSIFIED,,no,Cambridge,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge OPAL_W Source::Oxford
355,insecurity,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"1/1 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def])",Audio::Cambridge Source::Oxford
356,lush,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"1/1 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def])",Audio::Cambridge Source::Oxford
362,autopilot,noun,2,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,1/2 senses failed: sense-text-not-in-source,Audio::Cambridge idioms Source::Oxford
368,designated,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
372,interwoven,adjective,1,UNCLASSIFIED,,no,EdgeTTS,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::EdgeTTS CEFR::UNCLASSIFIED Source::Oxford
391,bliss,noun,2,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,1/2 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED idioms Source::Oxford
393,essence,noun,3,C1,C1,yes,Oxford,Oxford,mismatch,1/3 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::C1 CEFR::oxford idioms OPAL_W Oxford_5000 Source::Oxford
395,engaged,adjective,2,B1,B1,yes,Cambridge,Oxford,mismatch,"1/2 senses failed: cefr-mismatch (deck=B1, source=B2 [per-def], source-badge=B1)",Audio::Cambridge CEFR::oxford CEFR::UNCLASSIFIED Oxford_3000 Source::Oxford
397,gouging,noun,2,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,2/2 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
399,identity,noun,1,B1,B1,yes,Cambridge,Oxford,mismatch,1/1 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::oxford CEFR::UNCLASSIFIED OPAL_W Oxford_3000 Source::Oxford
401,chemistry,noun,1,A2,A2,yes,Cambridge,Oxford,mismatch,1/1 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::oxford CEFR::UNCLASSIFIED Oxford_3000 Source::Oxford
402,extends,verb,3,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,3/3 senses failed: word-not-in-source,Audio::Cambridge OPAL_W Source::Oxford
404,sync,noun,2,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,2/2 senses failed: sense-text-not-in-source,Audio::Cambridge idioms Source::Oxford
406,clunkiness,noun,1,UNCLASSIFIED,,no,EdgeTTS,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::EdgeTTS CEFR::UNCLASSIFIED Source::Oxford
407,survival,noun,3,B2,B2,yes,Oxford,Oxford,mismatch,1/3 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::B2 CEFR::oxford idioms OPAL_W Oxford_5000 Source::Oxford
412,shunned,verb,1,UNCLASSIFIED,,no,EdgeTTS,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::EdgeTTS CEFR::UNCLASSIFIED Source::Oxford
415,dabbler,noun,1,UNCLASSIFIED,,no,Cambridge,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
417,tidy,adjective,1,A2,A2,yes,Cambridge,Oxford,mismatch,1/1 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::oxford CEFR::UNCLASSIFIED Oxford_3000 Source::Oxford
420,meandering,verb,2,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,2/2 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
421,zigzagging,verb,1,UNCLASSIFIED,,no,EdgeTTS,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::EdgeTTS CEFR::UNCLASSIFIED Source::Oxford
427,shortsighted,adjective,1,UNCLASSIFIED,,no,Cambridge,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge Source::Oxford
435,cosmetics,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::EdgeTTS CEFR::UNCLASSIFIED Source::Oxford
438,convulsions,noun,2,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,2/2 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
444,billions,noun,1,UNCLASSIFIED,,no,Cambridge,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge Source::Oxford
447,greed,noun,2,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"2/2 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def])",Audio::Cambridge Source::Oxford
452,diminishing,adjective,2,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,2/2 senses failed: word-not-in-source,Audio::Cambridge idioms Source::Oxford
455,untethered,adjective,1,UNCLASSIFIED,,no,Cambridge,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
456,destabilizing,verb,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED Source::Oxford
465,invent,verb,1,A2,A2,yes,Cambridge,Oxford,mismatch,1/1 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::oxford CEFR::UNCLASSIFIED OPAL_S Oxford_3000 Source::Oxford
466,shifting,adjective,1,UNCLASSIFIED,,no,Cambridge,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED OPAL_W Source::Oxford
468,aspiring,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"1/1 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def])",Audio::Cambridge Source::Oxford
469,intellectual,noun,1,C1,B2,no,Oxford,Oxford,mismatch,"1/1 senses failed: cefr-mismatch (deck=C1, source=B2 [oxford-badge])",Audio::Cambridge CEFR::C1 CEFR::oxford Oxford_5000 Source::Oxford
470,labor,noun,2,UNCLASSIFIED,B2,no,Oxford,Oxford,mismatch,"2/2 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=B2 [per-def])",Audio::Cambridge idioms Source::Oxford
472,justification,noun,2,C1,C1,yes,Oxford,Oxford,mismatch,1/2 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::C1 CEFR::oxford idioms OPAL_W Oxford_5000 Source::Oxford
475,permission,noun,1,A2,A2,yes,Cambridge,Oxford,mismatch,1/1 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::oxford CEFR::UNCLASSIFIED Oxford_3000 Source::Oxford
479,injustice,noun,2,C1,C1,yes,Oxford,Oxford,mismatch,1/2 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::C1 CEFR::oxford idioms Oxford_5000 Source::Oxford
493,randomized,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge CEFR::UNCLASSIFIED OPAL_W Source::Oxford
500,bullet,noun,3,B2,B2,yes,Oxford,Oxford,mismatch,2/3 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::B2 CEFR::oxford idioms Oxford_3000 Source::Oxford
517,have the floor,phrase,1,UNCLASSIFIED,,no,EdgeTTS,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::EdgeTTS CEFR::UNCLASSIFIED Source::Oxford
519,recess,noun,3,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"3/3 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def])",Audio::Cambridge Source::Oxford
524,chapel,noun,3,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"3/3 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def])",Audio::Cambridge Source::Oxford
525,consist,verb,1,B1,B1,yes,Cambridge,Oxford,mismatch,1/1 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::oxford CEFR::UNCLASSIFIED Source::Oxford
527,indeed,verb,1,B1,B1,yes,Cambridge,Oxford,mismatch,1/1 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::oxford CEFR::UNCLASSIFIED idioms OPAL_W Oxford_3000 Source::Oxford
528,typically,verb,1,B1,B1,yes,Cambridge,Oxford,mismatch,1/1 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::oxford CEFR::UNCLASSIFIED OPAL_W Oxford_3000 Source::Oxford
541,pace,noun|verb,1,B2,,no,Oxford,Oxford,mismatch,1/1 senses failed: word-not-in-source,Audio::Cambridge CEFR::B2 CEFR::oxford Oxford_3000 Source::Oxford
543,pension,noun,1,B2,,no,Oxford,Oxford,mismatch,1/1 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::B2 CEFR::oxford Oxford_3000 Source::Oxford
553,tale,noun,3,B2,B2,yes,Oxford,Oxford,mismatch,1/3 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::B2 CEFR::oxford idioms Oxford_3000 Source::Oxford
574,goodness,noun,3,B2,B2,yes,Oxford,Oxford,mismatch,2/3 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::B2 CEFR::oxford idioms Oxford_5000 Source::Oxford
584,jury,noun,2,B2,B2,yes,Oxford,Oxford,mismatch,1/2 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::B2 CEFR::oxford idioms Oxford_5000 Source::Oxford
637,arm,verb,2,C1,A1,no,Oxford,Oxford,mismatch,"1/2 senses failed: cefr-mismatch (deck=C1, source=A1 [oxford-badge])",Audio::Cambridge CEFR::C1 CEFR::oxford idioms Oxford_3000 Source::Oxford
651,attendance,noun,3,C1,C1,yes,Oxford,Oxford,mismatch,1/3 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::C1 CEFR::oxford idioms Oxford_5000 Source::Oxford
659,bail,noun,2,C1,C1,yes,Oxford,Oxford,mismatch,1/2 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::C1 CEFR::oxford idioms Oxford_5000 Source::Oxford
661,banner,noun,3,C1,C1,yes,Oxford,Oxford,mismatch,2/3 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::C1 CEFR::oxford idioms Oxford_5000 Source::Oxford
666,behalf,noun,3,C1,C1,yes,Oxford,Oxford,mismatch,3/3 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::C1 CEFR::oxford idioms Oxford_5000 Source::Oxford
676,boundary,noun,2,C1,C1,yes,Oxford,Oxford,mismatch,1/2 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::C1 CEFR::oxford idioms Oxford_5000 Source::Oxford
688,cease,verb,2,C1,C1,yes,Oxford,Oxford,mismatch,1/2 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::C1 CEFR::oxford idioms Oxford_5000 Source::Oxford
713,contradiction,noun,3,C1,C1,yes,Oxford,Oxford,mismatch,1/3 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::C1 CEFR::oxford idioms Oxford_5000 Source::Oxford
725,bass,noun,3,C1,,no,Oxford,Oxford,mismatch,3/3 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::C1 CEFR::oxford Oxford_5000 Source::Oxford
738,bow,noun|verb,3,C1,,no,Oxford,Oxford,mismatch,3/3 senses failed: sense-text-not-in-source; no-per-sense-pos-in-deck; flat-matched,Audio::Cambridge CEFR::C1 CEFR::oxford idioms Oxford_5000 Source::Oxford
747,canvas,noun,3,C1,C1,yes,Oxford,Oxford,mismatch,1/3 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::C1 CEFR::oxford idioms Oxford_5000 Source::Oxford
756,caution,noun,3,C1,C1,yes,Oxford,Oxford,mismatch,1/3 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::C1 CEFR::oxford idioms Oxford_5000 Source::Oxford
779,fairness,noun,3,C1,C1,yes,Oxford,Oxford,mismatch,1/3 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::C1 CEFR::oxford idioms Oxford_5000 Source::Oxford
781,fate,noun,3,C1,C1,yes,Oxford,Oxford,mismatch,1/3 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::C1 CEFR::oxford idioms Oxford_5000 Source::Oxford
805,forth,adverb,3,C1,C1,yes,Oxford,Oxford,mismatch,1/3 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::C1 CEFR::oxford idioms Oxford_5000 Source::Oxford
814,funeral,noun,2,C1,C1,yes,Oxford,Oxford,mismatch,1/2 senses failed: sense-text-not-in-source,Audio::Cambridge CEFR::C1 CEFR::oxford idioms Oxford_5000 Source::Oxford
821,glance,noun|verb,3,C1,C1,yes,Oxford,Oxford,mismatch,2/3 senses failed: sense-text-not-in-source; no-per-sense-pos-in-deck; flat-matched,Audio::Cambridge CEFR::C1 CEFR::oxford Oxford_5000 Source::Oxford
827,grave,adjective|noun,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,1/1 senses failed: sense-text-not-in-source; no-per-sense-pos-in-deck; flat-matched,Audio::Cambridge idioms Source::Oxford
828,grave,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,1/1 senses failed: sense-text-not-in-source,Audio::Cambridge idioms Source::Oxford
