line_no,word,pos_list,n_senses,declared_cefr,source_oxford_badge,badge_match,src_cambridge_flag,src_oxford_flag,card_status,card_reason,tags
35,accusation,noun,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
36,acid,noun,1,B2,C1,no,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
37,acknowledge,verb,1,B2,B2,yes,Oxford,AWL,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_3000 OPAL_W
38,acquisition,noun,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000 OPAL_W
39,acre,noun,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
40,activate,verb,1,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
41,activation,noun,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
42,activist,noun,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
43,acute,adjective,3,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
44,adapt,verb,3,B2,B2,yes,Oxford,AWL,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_3000 OPAL_W
45,adaptation,noun,2,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000 OPAL_W
46,addiction,noun,1,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
47,addictive,adjective,1,C1,,no,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford
48,additionally,adverb,1,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000 OPAL_W
49,adequate,adjective,1,B2,B2,yes,Oxford,AWL,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000 OPAL_W
50,adequately,adverb,1,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000 OPAL_W
51,adhere,verb,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
52,adjacent,adjective,1,C1,C1,yes,Oxford,AWL,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
53,adjust,verb,2,B2,B2,yes,Oxford,AWL,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000 OPAL_W idioms
54,adjustment,noun,2,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000 OPAL_W
55,administer,verb,3,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000 OPAL_W
56,administrative,adjective,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000 OPAL_W
57,administrator,noun,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
58,admissible,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Source::Oxford CEFR::UNCLASSIFIED CEFR::oxford
59,admission,noun,3,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
60,adolescence,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Source::Oxford CEFR::UNCLASSIFIED CEFR::oxford
61,adolescent,noun,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
62,adoption,noun,2,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
63,adverse,adjective,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
64,advocate,noun,1,C1,C1,yes,Oxford,AWL,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
65,aesthetic,adjective,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
66,affirm,verb,1,C1,,no,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford
67,affirm,verb,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"1/1 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def])",Source::Oxford CEFR::UNCLASSIFIED CEFR::oxford
68,affordable,adjective,1,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
69,aftermath,noun,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
70,aggregate,adjective|noun|verb,3,UNCLASSIFIED,,no,Oxford,AWL,mismatch,"1/3 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def]); no-per-sense-pos-in-deck; flat-matched",Source::Oxford CEFR::UNCLASSIFIED CEFR::oxford idioms
71,aggression,noun,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
72,agile,adjective,3,C2,,no,Oxford,Oxford,match,,Source::Oxford CEFR::C2 CEFR::oxford
73,agile,adjective,3,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"3/3 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=C2 [per-def])",Source::Oxford CEFR::UNCLASSIFIED CEFR::oxford
74,agricultural,adjective,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000 OPAL_W
75,agriculture,noun,1,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
76,aide,noun,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
77,AIDS,noun,1,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
78,ailment,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Source::Oxford CEFR::UNCLASSIFIED CEFR::oxford
79,albeit,conjunction,1,C1,C1,yes,Oxford,AWL,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
80,alert,adjective|noun|verb,3,C1,C1,yes,Oxford,Oxford,mismatch,1/3 senses failed: sense-text-not-in-source; no-per-sense-pos-in-deck; flat-matched,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
81,alien,noun,2,B2,C1,no,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
82,align,verb,2,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
83,alignment,noun,2,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
84,alike,adjective|adverb,2,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000 idioms
85,allegation,noun,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
86,allege,verb,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
87,allegedly,adverb,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
88,alliance,noun,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
89,allocate,verb,1,C1,C1,yes,Oxford,AWL,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
90,allocation,noun,2,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
91,allowance,noun,3,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000 idioms
92,ally,noun,3,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
93,alongside,preposition,2,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
94,altogether,adverb,3,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000 idioms
95,aluminium,noun,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
96,amateur,adjective|noun,3,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
97,ambassador,noun,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
98,ambiguous,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,1/1 senses failed: sense-text-not-in-source,Source::Oxford CEFR::UNCLASSIFIED CEFR::oxford
99,ambition,noun,2,B1,B1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B1 CEFR::oxford Oxford_3000
100,ambulance,noun,1,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
101,amend,verb,1,C1,C1,yes,Oxford,AWL,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
102,amendment,noun,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
103,amid,preposition,2,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
104,amusing,adjective,1,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
105,analogy,noun,1,C1,C1,yes,Oxford,AWL,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
106,analyst,noun,1,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000 OPAL_W
107,analytical,adjective,2,UNCLASSIFIED,,no,Oxford,Oxford,match,,Source::Oxford CEFR::UNCLASSIFIED CEFR::oxford OPAL_W
108,ancestor,noun,1,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
109,anchor,noun,3,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
110,anecdote,noun,1,B2,,no,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford
111,anecdote,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"1/1 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=B2 [per-def])",Source::Oxford CEFR::UNCLASSIFIED CEFR::oxford
112,angel,noun,3,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000 idioms
113,animation,noun,2,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
114,annually,adverb,1,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
115,anonymous,adjective,2,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
116,anticipate,verb,3,B2,B2,yes,Oxford,AWL,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
117,anxiety,noun,3,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000 OPAL_W
118,apathy,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Source::Oxford CEFR::UNCLASSIFIED CEFR::oxford
119,apocalyptic,adjective,2,UNCLASSIFIED,,no,Oxford,Oxford,match,,Source::Oxford CEFR::UNCLASSIFIED CEFR::oxford
120,apology,noun,1,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000 idioms
121,apparatus,noun,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
122,apparent,adjective,2,B2,B2,yes,Oxford,AWL,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_3000 OPAL_W
123,appealing,adjective,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
124,append,verb,1,UNCLASSIFIED,,no,Oxford,AWL,match,,Source::Oxford CEFR::UNCLASSIFIED CEFR::oxford
125,appetite,noun,2,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
126,applaud,verb,2,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
127,applicable,adjective,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000 OPAL_W
128,applicant,noun,1,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
129,appoint,verb,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
130,appreciation,noun,3,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
131,appropriately,adverb,1,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000 OPAL_W
132,approximate,verb,2,UNCLASSIFIED,,no,Oxford,Oxford,match,,Source::Oxford CEFR::UNCLASSIFIED CEFR::oxford
133,arbitrary,adjective,1,C1,C1,yes,Oxford,AWL,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
134,architectural,adjective,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
135,archive,noun,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
136,arduous,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Source::Oxford CEFR::UNCLASSIFIED CEFR::oxford
137,arena,noun,2,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
138,arguably,adverb,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000 OPAL_W
139,arm,verb,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000 idioms
140,array,noun,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
141,arrogant,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Source::Oxford CEFR::UNCLASSIFIED CEFR::oxford
142,arrow,noun,1,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
143,articulate,verb,2,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
144,artwork,noun,2,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
145,ash,noun,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000 idioms
146,aside,adverb,2,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
147,aspiration,noun,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
148,aspire,verb,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
149,aspiring,adjective,1,C1,,no,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford
150,aspiring,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,mismatch,"1/1 senses failed: cefr-mismatch (deck=UNCLASSIFIED, source=C1 [per-def])",Source::Oxford CEFR::UNCLASSIFIED CEFR::oxford
151,assassination,noun,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
152,assault,noun|verb,3,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
153,assemble,verb,1,C1,C1,yes,Oxford,AWL,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
154,assembly,noun,3,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
155,assert,verb,3,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000 OPAL_W
156,assertion,noun,2,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000 OPAL_W
157,assess,verb,1,B2,B2,yes,Oxford,AWL,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_3000 OPAL_W
158,asset,noun,2,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
159,assign,verb,2,B2,B2,yes,Oxford,AWL,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000 OPAL_W
160,assistance,noun,1,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
161,assumption,noun,1,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000 OPAL_W
162,assurance,noun,2,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
163,assure,verb,1,B2,B2,yes,Oxford,AWL,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
164,astonishing,adjective,1,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
165,asylum,noun,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
166,atrocity,noun,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
167,atrophy,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Source::Oxford CEFR::UNCLASSIFIED CEFR::oxford
168,attachment,noun,1,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
169,attain,verb,2,C1,C1,yes,Oxford,AWL,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
170,attendance,noun,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000 idioms
171,attorney,noun,2,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
172,attribute,noun|verb,3,C1,C1,yes,Oxford,AWL,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000 OPAL_W
173,attribution,noun,3,UNCLASSIFIED,,no,Oxford,Oxford,match,,Source::Oxford CEFR::UNCLASSIFIED CEFR::oxford
174,auction,noun,1,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
175,audio,adjective,1,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
176,audit,noun,2,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
177,audition,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Source::Oxford CEFR::UNCLASSIFIED CEFR::oxford
178,authentic,adjective,2,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
179,authenticity,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Source::Oxford CEFR::UNCLASSIFIED CEFR::oxford
180,authorize,verb,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
181,auto,noun,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
182,autoimmune,adjective,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Source::Oxford CEFR::UNCLASSIFIED CEFR::oxford
183,automate,verb,1,UNCLASSIFIED,,no,Oxford,AWL,match,,Source::Oxford CEFR::UNCLASSIFIED CEFR::oxford
184,automatic,adjective,2,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
185,automatically,adverb,2,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
186,autonomy,noun,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
187,autopilot,noun,1,UNCLASSIFIED,,no,Oxford,Oxford,match,,Source::Oxford CEFR::UNCLASSIFIED CEFR::oxford idioms
188,availability,noun,2,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000 OPAL_W
189,await,verb,2,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
190,awareness,noun,2,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000 OPAL_W
191,awkward,adjective,3,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
192,backdrop,noun,1,C1,C1,yes,Oxford,Oxford,mismatch,1/1 senses failed: sense-text-not-in-source,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
193,backing,noun,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
194,backup,noun,2,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
195,badge,noun,1,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
196,bail,noun,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000 idioms
197,balanced,adjective,1,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
198,ballet,noun,1,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
199,balloon,noun,2,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000 idioms
200,ballot,noun,3,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000
201,banner,noun,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000 idioms
202,bare,adjective,3,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000 idioms
203,barely,adverb,1,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
204,bargain,noun,2,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000 idioms
205,barrel,noun,1,C1,C1,yes,Oxford,Oxford,match,,Source::Oxford CEFR::C1 CEFR::oxford Oxford_5000 idioms
206,barrier,noun,3,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_3000 OPAL_W
207,basement,noun,1,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000
208,basket,noun,3,B2,B2,yes,Oxford,Oxford,match,,Source::Oxford CEFR::B2 CEFR::oxford Oxford_5000 idioms
